Size,Zeep Sort,Bubble Sort,Insertion Sort,Merge Sort,Quick Sort
1,4.67E-06,6.44E-06,5.11E-06,1.67E-05,6.89E-06
2,1.07E-05,1.11E-05,1.24E-05,2.58E-05,1.42E-05
3,2.07E-05,2.27E-05,2.33E-05,5.27E-05,2.67E-05
4,3.02E-05,3.02E-05,3.29E-05,8.00E-05,3.82E-05
5,3.89E-05,4.78E-05,4.33E-05,1.02E-04,5.67E-05
6,5.87E-05,6.00E-05,5.73E-05,1.20E-04,7.20E-05
7,7.62E-05,8.24E-05,6.22E-05,1.45E-04,1.01E-04
8,9.78E-05,1.08E-04,7.82E-05,1.74E-04,1.26E-04
9,1.10E-04,1.42E-04,9.40E-05,2.06E-04,1.58E-04
10,1.38E-04,1.84E-04,1.02E-04,2.53E-04,1.91E-04
11,1.54E-04,2.40E-04,1.30E-04,3.01E-04,2.30E-04
12,1.89E-04,2.77E-04,1.33E-04,3.28E-04,2.51E-04
13,2.46E-04,3.26E-04,1.47E-04,3.84E-04,2.95E-04
14,2.30E-04,3.61E-04,1.62E-04,4.04E-04,3.14E-04
15,2.40E-04,3.97E-04,1.70E-04,4.40E-04,3.27E-04
16,2.70E-04,4.59E-04,1.92E-04,4.91E-04,3.84E-04
17,3.14E-04,5.33E-04,2.12E-04,9.90E-04,4.34E-04
18,3.44E-04,6.04E-04,2.24E-04,5.44E-04,4.36E-04
19,3.46E-04,6.33E-04,2.28E-04,5.70E-04,4.43E-04
20,3.87E-04,6.84E-04,2.44E-04,6.31E-04,4.80E-04
21,3.97E-04,7.65E-04,2.52E-04,6.63E-04,5.13E-04
22,4.30E-04,8.02E-04,2.69E-04,6.75E-04,5.38E-04
23,4.65E-04,9.15E-04,3.22E-04,7.26E-04,5.98E-04
24,4.85E-04,9.60E-04,3.73E-04,0.001072,7.79E-04
25,5.78E-04,0.001122222,3.33E-04,8.06E-04,6.61E-04
26,5.32E-04,0.001109333,3.52E-04,8.78E-04,6.93E-04
27,5.88E-04,0.001211998,3.78E-04,0.001211998,7.02E-04
28,6.16E-04,0.001288002,4.11E-04,9.27E-04,7.72E-04
29,6.19E-04,0.001340448,4.32E-04,9.28E-04,7.86E-04
30,6.47E-04,0.001413333,4.40E-04,9.80E-04,9.40E-04
31,6.96E-04,0.00150867,4.41E-04,0.001122891,8.27E-04
32,7.47E-04,0.001571556,4.69E-04,0.001080889,9.32E-04
33,7.99E-04,0.001693995,4.84E-04,0.001143997,9.24E-04
34,8.08E-04,0.001820888,4.91E-04,0.001171111,0.001012444
35,8.94E-04,0.001835547,5.76E-04,0.001228883,0.001018884
36,8.72E-04,0.001976,5.44E-04,0.001256,0.001
37,8.96E-04,0.002030883,5.59E-04,0.001282663,0.001052441
38,9.20E-04,0.002212446,5.74E-04,0.001393334,0.001072445
39,9.19E-04,0.002183993,6.15E-04,0.001343329,0.00108333
40,9.42E-04,0.002311111,6.22E-04,0.001386667,0.00112
41,9.66E-04,0.002414447,6.47E-04,0.001457779,0.001166223
42,0.001017332,0.002510663,6.91E-04,0.001558665,0.001175999
43,0.001127547,0.002618201,6.98E-04,0.001576654,0.001213546
44,0.001075553,0.002737771,7.14E-04,0.00156444,0.001280885
45,0.00111,0.00282,7.40E-04,0.00168,0.00128
46,0.001134668,0.002964447,7.97E-04,0.001707113,0.001349335
47,0.001180231,0.003039355,8.04E-04,0.001744235,0.001357787
48,0.001216,0.0032,8.32E-04,0.001749333,0.001418667
49,0.00127401,0.003266693,8.49E-04,0.001862015,0.001415567
50,0.001311111,0.0034,9.11E-04,0.002044444,0.001566667
51,0.001314656,0.003671971,9.18E-04,0.002051317,0.001507321
52,0.001352007,0.003767131,9.36E-04,0.002022233,0.001536897
53,0.001366217,0.003768874,9.30E-04,0.002131769,0.001566438
54,0.001416006,0.004128017,0.001020004,0.002268009,0.001740007
55,0.001564429,0.004289957,9.90E-04,0.002187756,0.001723316
56,0.001605336,0.004156452,9.83E-04,0.002190226,0.001680003
57,0.001507321,0.004268633,0.001051325,0.002191316,0.00165932
58,0.00155956,0.004343567,0.001044003,0.002345784,0.001765783
59,0.001534004,0.0044709,0.001114447,0.002425561,0.00171756
60,0.001573333,0.00464,0.00108,0.002426667,0.001866667
61,0.001626656,0.004798634,0.001125103,0.002521316,0.001870654
62,0.001694658,0.00493242,0.001157328,0.002521321,0.001859991
63,0.00170799,0.00510997,0.001217993,0.002505985,0.001931988
64,0.001735099,0.005319073,0.001365324,0.002702203,0.001991097
65,0.001892216,0.005503315,0.001285551,0.002614436,0.001921105
66,0.001818662,0.005529319,0.001319996,0.002757326,0.001965328
67,0.001980227,0.006000238,0.001399559,0.002828897,0.001995117
68,0.001903985,0.005757287,0.001329767,0.002795533,0.002115539
69,0.001870678,0.006194704,0.001334008,0.002836684,0.002116013
70,0.001882214,0.00623775,0.001477771,0.002893321,0.002224435
71,0.002019565,0.006405806,0.001404229,0.002966235,0.002208899
72,0.00208,0.006368,0.001584,0.00288,0.002288
73,0.002125105,0.006618649,0.001492441,0.003033547,0.002335994
74,0.002104882,0.006807979,0.001562217,0.003140879,0.00231866
75,0.002083333,0.006866667,0.00155,0.003083333,0.002466667
76,0.002685312,0.007785716,0.002111094,0.003225752,0.002415092
77,0.00225865,0.007905274,0.001779542,0.003815749,0.003901304
78,0.002340013,0.008233378,0.001698676,0.003258684,0.002461347
79,0.002387557,0.007847337,0.001720445,0.003511113,0.002773779
80,0.002453333,0.010115556,0.003626667,0.003591111,0.00272
81,0.003437972,0.008837929,0.001871985,0.00376197,0.003005976
82,0.003261781,0.009566675,0.002095558,0.003644448,0.003061336
83,0.002600708,0.009333038,0.001955143,0.003818061,0.002932714
84,0.002650688,0.009296075,0.001978683,0.003677363,0.002856023
85,0.002720009,0.009236697,0.002040007,0.00377779,0.002833343
86,0.002675534,0.009249704,0.001949318,0.003707526,0.0027902
87,0.002668007,0.009396025,0.001991339,0.003866677,0.002822674
88,0.002737744,0.009601658,0.002053308,0.003989284,0.002991963
89,0.003896207,0.009908627,0.002116214,0.00369843,0.002907322
90,0.0028,0.0098,0.00216,0.00382,0.00292
91,0.002891752,0.010293017,0.002224424,0.003963519,0.002952418
92,0.00284178,0.012328011,0.002351113,0.004395559,0.003864003
93,0.00314134,0.010602022,0.002294005,0.004009341,0.003079339
94,0.002903576,0.010716076,0.002276905,0.004094251,0.003133356
95,0.002892248,0.0112101,0.002491133,0.004180037,0.003314474
96,0.003136,0.01184,0.002410667,0.004117333,0.0032
97,0.003211761,0.011575271,0.002500431,0.004332644,0.003233316
98,0.003266693,0.012086763,0.002613354,0.004769371,0.003484472
99,0.003211968,0.012671873,0.002507975,0.004509955,0.003343967
100,0.003133333,0.013177778,0.002555556,0.004444445,0.003466667
101,0.003299367,0.012883243,0.002581138,0.004646048,0.003546258
102,0.003513305,0.012851898,0.002991976,0.004782628,0.003717304
103,0.003318913,0.012657648,0.002586464,0.004486255,0.003502026
104,0.003328018,0.013889852,0.002750237,0.005176917,0.003605353
105,0.003406599,0.014093052,0.002706613,0.004759905,0.003593261
106,0.00405154,0.015687937,0.003203543,0.005182202,0.003533319
107,0.00349534,0.013553358,0.002782005,0.004993342,0.003875785
108,0.00379197,0.013823889,0.002879977,0.00496796,0.003647971
109,0.003609147,0.01438814,0.002979362,0.004771825,0.003851371
110,0.003788897,0.015253367,0.002982229,0.005157789,0.003960009
111,0.003675292,0.015515158,0.003009299,0.005451272,0.003897289
112,0.003808054,0.016402012,0.003111156,0.005276519,0.004081836
113,0.003842001,0.015794892,0.003390001,0.005348668,0.004017779
114,0.003774636,0.015757207,0.003014643,0.005345291,0.003951968
115,0.003628837,0.01517978,0.003373285,0.005187703,0.003884388
116,0.003892455,0.018173382,0.003248009,0.005361792,0.004150233
117,0.004003952,0.016405802,0.003171962,0.005433935,0.005537934
118,0.004169398,0.01704471,0.003513832,0.00558542,0.004221844
119,0.003887346,0.017109612,0.003755124,0.00565913,0.005050906
120,0.0044,0.018693333,0.003626667,0.00528,0.004106667
121,0.004624899,0.0197096,0.00357623,0.005727346,0.00435601
122,0.004066694,0.018191677,0.003470245,0.005530703,0.004337807
